,video_time_stamp,blink_counter,Emotion,list_of_emotions
31,00:00:31,46,surprise,"{'emotion': {'angry': 4.152379930019379, 'disgust': 0.19306199392303824, 'fear': 3.884590044617653, 'happy': 0.8879127912223339, 'sad': 0.44696349650621414, 'surprise': 75.27703046798706, 'neutral': 15.158061683177948}, 'dominant_emotion': 'surprise'}"
32,00:00:32,46,surprise,"{'emotion': {'angry': 12.005287408828735, 'disgust': 0.004813310442841612, 'fear': 12.498296052217484, 'happy': 5.863769352436066, 'sad': 1.816897839307785, 'surprise': 67.46925711631775, 'neutral': 0.3416795749217272}, 'dominant_emotion': 'surprise'}"
33,00:00:33,49,surprise,"{'emotion': {'angry': 5.0086114555597305, 'disgust': 0.07838709279894829, 'fear': 0.40677376091480255, 'happy': 0.7553594186902046, 'sad': 0.054047571029514074, 'surprise': 93.36148500442505, 'neutral': 0.33533868845552206}, 'dominant_emotion': 'surprise'}"
34,00:00:34,50,disgust,"{'emotion': {'angry': 4.6941946264621395, 'disgust': 76.02601504480928, 'fear': 18.427833523025125, 'happy': 0.029759905328633207, 'sad': 0.24974238219066752, 'surprise': 0.5393468165008316, 'neutral': 0.03311284142008224}, 'dominant_emotion': 'disgust'}"
35,00:00:35,51,angry,"{'emotion': {'angry': 94.99534904901374, 'disgust': 0.061373303510046426, 'fear': 3.7803803420520237, 'happy': 0.016736687933836186, 'sad': 0.30586641668425996, 'surprise': 0.44093011546791977, 'neutral': 0.3993638801561451}, 'dominant_emotion': 'angry'}"
36,00:00:36,53,angry,"{'emotion': {'angry': 64.26157355308533, 'disgust': 23.152130842208862, 'fear': 2.9572390019893646, 'happy': 0.045102828880771995, 'sad': 0.5968226119875908, 'surprise': 8.465587347745895, 'neutral': 0.5215473007410765}, 'dominant_emotion': 'angry'}"
37,00:00:37,54,fear,"{'emotion': {'angry': 0.014023623953107744, 'disgust': 1.0064233890716423e-07, 'fear': 96.25518918037415, 'happy': 0.0010694019692891743, 'sad': 0.03019823634531349, 'surprise': 3.69877889752388, 'neutral': 0.0007501047548430506}, 'dominant_emotion': 'fear'}"
38,00:00:38,55,fear,"{'emotion': {'angry': 5.224908143281937, 'disgust': 0.01249383349204436, 'fear': 92.76708364486694, 'happy': 0.10312988888472319, 'sad': 0.8963694795966148, 'surprise': 0.606576120480895, 'neutral': 0.3894364694133401}, 'dominant_emotion': 'fear'}"
39,00:00:39,55,sad,"{'emotion': {'angry': 0.0013716309603216419, 'disgust': 1.141289279600612e-11, 'fear': 0.011665792375906103, 'happy': 0.011603058338021612, 'sad': 99.97532367559216, 'surprise': 1.6081524549614895e-12, 'neutral': 3.6680887004803125e-05}, 'dominant_emotion': 'sad'}"
40,00:00:40,57,sad,"{'emotion': {'angry': 0.4624593537300825, 'disgust': 1.1565687990655604e-08, 'fear': 0.37375795654952526, 'happy': 0.1700561260804534, 'sad': 98.99370670318604, 'surprise': 8.630853735695776e-12, 'neutral': 1.931169890667661e-05}, 'dominant_emotion': 'sad'}"
41,00:00:41,59,fear,"{'emotion': {'angry': 13.526191623579956, 'disgust': 0.04591678135439196, 'fear': 81.50852212360633, 'happy': 0.11177667850042454, 'sad': 0.69406963365195, 'surprise': 2.3468888832264474, 'neutral': 1.7666277597324704}, 'dominant_emotion': 'fear'}"
